Industry,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7
,,,Total animal and pet food ingredients,,,,
,,,,Vitamins,,,
,,,,Minerals,,,
,,,,Amino Acids,,,
,,,,Collagen Peptide,,,
,,,,L-Carnitine,,,
,,,,Omega-3,,,
,,,,Prebiotics,,,
,,,,Glucosamine & Chondroitin,,,
,,,,Probiotics,,,
,,,,Organic Acids,,,
,,,,Enzymes,,,
,,,,Other Ingredients NEC,,,
,,Personal Care Ingredients,,,,,
,,,Functional ingredients,,,,
,,,,Surfactants and Emulsifiers,,,
,,,,Rheology Modifiers,,,
,,,,Emollients and Humectants,,,
,,,Active ingredients,,,,
,,,,Moisturizing ingredients,,,
,,,,Anti-aging ingredients,,,
,,,,UV filters,,,
,,,,Exfoliating ingredients,,,
,,,,Antimicrobials,,,
,,,,Other personal care active ingredients,,,
,,,Fragrance ingredients,,,,
,,,Cosmetic Colorants,,,,
,,,Personal Care and Cosmetic Preservatives,,,,
,,Pharmaceutical Ingredients,,,,,
,,,Excipients,,,,
,,,Pharmaceutical Intermediates,,,,
,,,Microencapsulation,,,,
,,,Other pharmaceutical ingredients,,,,
,,Nutricosmetic ingredients,,,,,
,,Nutraceutical ingredients,,,,,
,,Cosmeceutical ingredients,,,,,
,,Industrial & Institutional Cleaning,,,,,
,Personal Protective Equipment (PPE),,,,,,
,,"Head, Eye & Face Protection",,,,,
,,,Head Protection,,,,
,,,,Helmets,,,
,,,,Bump Caps,,,
,,,,Welding Helmets,,,
,,,Eye Protection,,,,
,,,,Safety Glasses,,,
,,,,Safety Goggles,,,
,,,Hearing Protection,,,,
,,,,Ear Plugs,,,
,,,,Ear Muffs,,,
,,Protective Clothing,,,,,
,,,High Visibility Clothing,,,,
,,,FR Clothing,,,,
,,,Flame Resistant Clothing,,,,
,,,Chemical Protective Clothing,,,,
,,,Cold & Wet,,,,
,,,Anti-static Clothing,,,,
,,,Chainsaw Clothing,,,,
,,Industrial Gloves,,,,,
,,,Mechanical Protection,,,,
,,,,General Purpose Gloves,,,
,,,,Cut Resistant Gloves,,,
,,,,Puncture Resistant Gloves,,,
,,,,Anti-Impact Gloves,,,
,,,Chemical Protection Gloves,,,,
,,,,Disposable Gloves,,,
,,,,Reusable Gloves,,,
,,,Thermal Protective Gloves,,,,
,,,,Heat-Resistant,,,
,,,,Cold-Resistant,,,
,,,Special Protection Gloves,,,,
,,,,Anti-vibration and Anti-impact Gloves,,,
,,,,Anti-syringe Gloves,,,
,,,,Electric Insulation Gloves,,,
,,,,Critical Environment Gloves,,,
,,,,,Disposable,,
,,,,,Reusable,,
,,Medical Gloves,,,,,
,,,Surgical Gloves,,,,
,,,,Latex,,,
,,,,Synthetic,,,
,,,Examination Gloves,,,,
,,,,Latex,,,
,,,,Synthetic,,,
,,Respiratory Protection,,,,,
,,,Disposable Respirators,,,,
,,,Non disposable Respirators,,,,
,,,Powered Air Purifying Respirators (PAPRs),,,,
,,,Self Contained Breathing Apparatus (SCBAs),,,,
,,,Escape Respirators,,,,
,,,Airline Respirators,,,,
,,Foot Protection,,,,,
,,,Safety Shoes,,,,
,,,Safety Boots,,,,
,,,Wellingtons,,,,
,,Fall Protection,,,,,
,,,Soft Goods,,,,
,,,Hard Goods,,,,
,,,Installed Systems,,,,
,,,Access Systems,,,,
,,,Rescue Equipment,,,,
,,,Services,,,,
,,Workwear,,,,,
,,,General Workwear,,,,
,,,,Blue Workwear,,,
,,,,White Workwear,,,
,,,Corporate Workwear,,,,
,,,,Casual Wear,,,
,,,,Career Wear,,,
,,,Uniforms,,,,
,,Gas Detectors,,,,,
,,,Portable Gas Detectors,,,,
,,,Fixed Gas Detectors,,,,
,,,Detector Tubes,,,,
,Polymers & Composites,,,,,,
,,Thermoplastic polymers,,,,,
,,,Commodity plastics,,,,
,,,,PE,,,
,,,,PP,,,
,,,,PS,,,
,,,,PET,,,
,,,,PVC,,,
,,,Engineering plastics,,,,
,,,,PA,,,
,,,,PC,,,
,,,,ABS,,,
,,,,POM,,,
,,,,Engineering polyesters,,,
,,,,Other engineering plastics,,,
,,,High performance plastics,,,,
,,,,High performance PA,(More product detail e.g. long-chain versus polyphthalamide),,
,,,,PPS and sulfone polymers,,,
,,,,Polyimides and polyether imides,,,
,,,,Polyketones,,,
,,,,Fluoropolymers,,,
,,,,PPO and PPE,,,
,,,Bioplastics,,,,
,,,,Bio-based versions of traditional plastics,,,
,,,,Plastics primarily made via bio-based routes,,,
,,,Thermoplastic elastomers,,,,
,,,,SBC's,,,
,,,,TPO,,,
,,,,TPV,,,
,,,,TPU,,,
,,,,Polyamide elastomers,,,
,,,,Copolyester elastomers,,,
,,,Other polymers NEC,,,,
,,Thermoset composite resins,,,,,
,,,Polyurethane (inc. PU for foam),,,,
,,,Epoxy,,,,
,,,Unsaturated polyester and vinyl esters,,,,
,,,Melamine and phenolic resins,,,,
,,,Aminoplastics,,,,
,,,Acrylic resins,,,,
,,,Other thermoset resins,,,,
,,Additives,,,,,
,,,Plasticizers,,,,
,,,Stabilizers,(Further segmentation e.g. Antioxidants),,,
,,,Flame retardants,,,,
,,,Impact modifiers,,,,
,,,Processing aids,,,,
,,,"Polymerisation initiators, nucleating agents etc.",,,,
,,,Other additives NEC,,,,
,,Pigments,,,,,
,,,Organic pigments,,,,
,,,Inorganic pigments,,,,
,,,Special effect pigments,,,,
,,Reinforcing materials,,,,,
,,,Mineral fillers for plastics,,,,
,,,Glass fibre,,,,
,,,Carbon fibre,,,,
,,,Natural fibres,,,,
,,,"Other reinforcing fibres (aramid, basalt, honeycomb papers etc.)",,,,
,,Polymer formulations,,,,,
,,,Masterbatches,(Further splits e.g. into colour and additive masterbatches),,,
,,,Compounds,,,,
,,,Thermoset formulations,(Prepreg etc.),,,
,,Polymer end-products covered by CMN,,,,,
,,,Packaging,,,,
